N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
142,현대해상,"25,500",350,-1.35%,500,"22,797","89,400",29.14,"798,225",6.16,7.13,
143,TIGER 200,"43,915",105,+0.24%,0,"21,892","49,850",0.17,"684,917",N/A,N/A,
144,코오롱인더,"80,800","2,600",+3.32%,"5,000","21,799","26,979",17.95,"701,041",26.77,9.70,
145,효성,"103,000",500,+0.49%,"5,000","21,703","21,071",9.66,"42,427",76.98,-2.26,
146,현대엘리베이,"53,100",300,+0.57%,"5,000","21,673","40,815",29.02,"232,073",19.37,9.78,
147,진원생명과학,"47,300","7,700",+19.44%,"1,000","21,374","45,189",15.24,"33,850,389",-108.24,-30.43,
148,동국제강,"22,200",100,+0.45%,"5,000","21,186","95,433",21.90,"1,025,091",10.06,3.35,
149,HDC현대산업개발,"31,500",500,+1.61%,"5,000","20,761","65,907",11.19,"598,142",10.03,8.85,
150,현대백화점,"87,400","1,000",-1.13%,"5,000","20,454","23,402",20.11,"118,935",20.98,1.65,
151,오뚜기,"544,000","1,000",+0.18%,"5,000","19,976","3,672",13.02,"3,838",20.63,7.93,
152,대웅제약,"172,000","4,500",-2.55%,"2,500","19,929","11,587",5.85,"129,566",-180.67,2.38,
153,프레스티지바이오파마,"33,000",50,-0.15%,0,"19,832","60,096",63.73,"1,200,986",-98.21,N/A,
154,효성첨단소재,"440,500","14,500",+3.40%,"5,000","19,734","4,480",10.13,"91,575",54.37,0.03,
155,영원무역,"44,400",50,+0.11%,500,"19,674","44,311",26.85,"72,795",12.73,8.03,
156,한국앤컴퍼니,"20,350",50,-0.25%,500,"19,319","94,935",10.05,"104,030",9.38,5.08,
157,한전기술,"50,500",800,-1.56%,200,"19,301","38,220",2.59,"220,041",115.30,N/A,
158,한전KPS,"42,850",650,-1.49%,200,"19,282","45,000",8.98,"229,961",17.87,8.23,
159,농심,"313,500","3,500",-1.10%,"5,000","19,069","6,083",13.83,"27,355",14.81,7.50,
160,KODEX 삼성그룹,"10,300",50,+0.49%,0,"18,859","183,100",0.05,"387,666",N/A,N/A,
161,아이에스동서,"60,800","1,300",+2.18%,500,"18,783","30,893",4.85,"70,770",14.69,10.92,
162,KG동부제철,"17,850",100,+0.56%,"5,000","17,852","100,009",1.47,"1,084,723",19.79,7.18,
163,에스엘,"35,700",400,-1.11%,500,"17,209","48,203",16.76,"215,792",15.59,4.74,
164,롯데정밀화학,"66,000","2,500",+3.94%,"5,000","17,028","25,800",20.17,"352,264",8.68,12.65,
165,LS ELECTRIC,"55,900",600,+1.08%,"5,000","16,770","30,000",14.20,"63,295",21.31,6.15,
166,DL,"80,000",600,+0.76%,"5,000","16,765","20,956",15.93,"77,004",4.29,11.84,
167,한미반도체,"33,850",800,+2.42%,200,"16,742","49,460",6.57,"630,486",27.66,21.03,
168,KODEX 단기채권PLUS,"103,060",5,0.00%,0,"16,482","15,993",0.00,"275,042",N/A,N/A,
169,NHN,"83,400","1,100",+1.34%,500,"16,317","19,565",11.67,"134,307",60.88,1.35,
170,지누스,"103,000",500,+0.49%,500,"16,274","15,800",23.41,"121,912",33.99,11.61,
171,LG생활건강우,"765,000","4,000",+0.53%,"5,000","16,063","2,100",85.36,"3,831",16.49,N/A,
172,녹십자홀딩스,"34,100",100,+0.29%,500,"16,037","47,028",4.91,"108,741",9.05,19.74,
173,두산,"95,700",700,+0.74%,"5,000","15,813","16,524",11.24,"50,150",-11.52,-34.34,
174,솔루스첨단소재,"51,600",800,+1.57%,100,"15,784","30,590",6.29,"248,482",-142.54,-5.10,
175,DGB금융지주,"9,300",30,-0.32%,"5,000","15,731","169,146",48.35,"383,417",4.28,6.93,
176,종근당,"137,000","1,000",-0.72%,"2,500","15,654","11,426",8.13,"49,433",17.63,17.88,
177,대한유화,"238,000","2,500",-1.04%,"5,000","15,470","6,500",19.76,"42,308",6.78,6.93,
178,SK네트웍스,"6,020",50,-0.82%,"2,500","14,941","248,188",12.73,"543,766",14.44,1.63,
179,명신산업,"28,400",100,-0.35%,500,"14,902","52,470",1.10,"228,531",-12.32,-67.39,
180,JB금융지주,"7,530",60,+0.80%,"5,000","14,833","196,983",41.05,"506,809",3.71,10.06,
181,KODEX 종합채권(AA-이상)액티브,"108,565",80,+0.07%,0,"14,590","13,439",0.00,"3,478",N/A,N/A,
182,신세계인터내셔날,"204,000","1,000",+0.49%,"5,000","14,566","7,140",5.21,"30,595",20.91,8.24,
183,롯데리츠,"5,960",40,-0.67%,500,"14,481","242,969",9.57,"774,842",34.65,1.83,
184,부광약품,"20,250",100,-0.49%,500,"14,390","71,063",5.18,"458,455",-152.26,-2.46,
185,KODEX 200TR,"14,385",70,+0.49%,0,"14,371","99,900",0.03,"100,167",N/A,N/A,
186,솔루엠,"28,150",100,-0.35%,500,"14,020","49,806",4.50,"384,823",27.54,43.26,
187,롯데관광개발,"20,150",250,-1.23%,500,"13,959","69,276",4.23,"422,298",-11.27,-30.43,
188,세방전지,"97,000",400,+0.41%,500,"13,580","14,000",25.13,"57,580",17.60,6.14,
189,LG전자우,"78,700",300,+0.38%,"5,000","13,525","17,186",40.91,"87,903",7.33,N/A,
190,KODEX 레버리지,"29,300",180,+0.62%,0,"13,419","45,800",4.13,"11,016,134",N/A,N/A,
191,한국콜마,"58,000",200,+0.35%,500,"13,271","22,881",27.31,"105,344",8.29,29.27,
192,이노션,"66,000",900,+1.38%,500,"13,200","20,000",30.18,"54,846",22.47,8.28,
193,코스맥스,"131,000","1,500",+1.16%,500,"13,165","10,050",22.68,"151,846",41.21,6.23,
194,롯데칠성,"145,000","1,000",+0.69%,500,"13,014","8,975",9.20,"34,967",195.42,-1.00,
195,태광산업,"1,166,000","5,000",-0.43%,"5,000","12,982","1,113",7.27,"1,085",10.28,3.26,
196,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
197,다우기술,"28,500",50,-0.18%,500,"12,787","44,867",22.09,"151,036",3.37,18.85,
198,KODEX 2차전지산업,"19,235",265,+1.40%,0,"12,734","66,200",0.06,"1,481,408",N/A,N/A,
199,보령제약,"23,600",150,-0.63%,500,"12,300","52,120",6.65,"279,505",32.51,8.62,
200,LG상사,"31,200",600,+1.96%,"5,000","12,093","38,760",25.31,"234,320",11.88,23.72,
